01072026
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
360ONE,M1,EQUITY,20,6,1,6,18,1,18
360ONE,M1,EQUITY,40,4,1,4,12,1,12
360ONE,M2,EQUITY,20,6,1,6,18,1,18
360ONE,M2,EQUITY,40,4,1,4,12,1,12
360ONE,M3,EQUITY,40,3,1,3,9,1,9
360ONE,M3,EQUITY,80,2,1,2,6,1,6
ABB,M1,EQUITY,100,7,1,7,21,1,21
ABB,M1,EQUITY,200,5,1,5,15,1,15
ABB,M2,EQUITY,100,7,1,7,21,1,21
ABB,M2,EQUITY,200,5,1,5,15,1,15
ABB,M3,EQUITY,200,3,1,3,9,1,9
ABB,M3,EQUITY,400,3,1,3,9,1,9
ABCAPITAL,M1,EQUITY,5,7,1,7,21,1,21
ABCAPITAL,M1,EQUITY,10,6,1,6,18,1,18
ABCAPITAL,M2,EQUITY,5,7,1,7,21,1,21
ABCAPITAL,M2,EQUITY,10,6,1,6,18,1,18
ABCAPITAL,M3,EQUITY,10,4,1,4,12,1,12
ABCAPITAL,M3,EQUITY,20,3,1,3,9,1,9
ADANIENSOL,M1,EQUITY,20,8,1,8,24,1,24
ADANIENSOL,M1,EQUITY,40,6,1,6,18,1,18
ADANIENSOL,M2,EQUITY,20,8,1,8,24,1,24
ADANIENSOL,M2,EQUITY,40,6,1,6,18,1,18
ADANIENSOL,M3,EQUITY,40,4,1,4,12,1,12
ADANIENSOL,M3,EQUITY,80,3,1,3,9,1,9
ADANIENT,M1,EQUITY,50,6,1,6,18,1,18
ADANIENT,M1,EQUITY,100,4,1,4,12,1,12
ADANIENT,M2,EQUITY,50,6,1,6,18,1,18
ADANIENT,M2,EQUITY,100,4,1,4,12,1,12
ADANIENT,M3,EQUITY,100,3,1,3,9,1,9
ADANIENT,M3,EQUITY,200,2,1,2,6,1,6
ADANIGREEN,M1,EQUITY,20,7,1,7,21,1,21
ADANIGREEN,M1,EQUITY,40,6,1,6,18,1,18
ADANIGREEN,M2,EQUITY,20,7,1,7,21,1,21
ADANIGREEN,M2,EQUITY,40,6,1,6,18,1,18
ADANIGREEN,M3,EQUITY,40,4,1,4,12,1,12
ADANIGREEN,M3,EQUITY,80,3,1,3,9,1,9
